,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,BALANCE_log,PURCHASES_log,ONEOFF_PURCHASES_log,INSTALLMENTS_PURCHASES_log,CASH_ADVANCE_log,PAYMENTS_log,MINIMUM_PAYMENTS_log
0,40.900749,0.818182,95.4,0.0,95.4,0.0,0.166667,0.0,0.083333,0.0,0,2,1000.0,201.802084,139.509787,0.0,12,3.735303702663308,4.5685062016165,0.0,4.5685062016165,0.0,5.312230547798351,4.945277144710759
1,3202.467416,0.909091,0.0,0.0,0.0,6442.945483,0.0,0.0,0.0,0.25,4,0,7000.0,4103.032597,1072.340217,0.222222,12,8.07198906965229,0.0,0.0,0.0,8.77089628414314,8.319725329557853,6.978530763203816
2,2495.148862,1.0,773.17,773.17,0.0,0.0,1.0,1.0,0.0,0.0,0,12,7500.0,622.066742,627.284787,0.0,12,7.82250436793527,6.651791487715673,6.651791487715673,0.0,0.0,6.434653643065494,6.442993546160168
3,1666.670542,0.636364,1499.0,1499.0,0.0,205.788017,0.083333,0.083333,0.0,0.083333,1,1,7500.0,0.0,312.343947,0.0,12,7.419183046623112,7.313220387090301,7.313220387090301,0.0,5.331694196081131,0.0,5.747301459426504
4,817.714335,1.0,16.0,16.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1200.0,678.334763,244.791237,0.0,12,6.70773522569534,2.833213344056216,2.833213344056216,0.0,0.0,6.521114029626576,5.5044825455607045
5,1809.828751,1.0,1333.28,0.0,1333.28,0.0,0.666667,0.0,0.583333,0.0,0,8,1800.0,1400.05777,2407.246035,0.0,12,7.5015398929484585,7.1961470995031585,0.0,7.1961470995031585,0.0,7.244982780319138,7.786653975212626
6,627.260806,1.0,7091.01,6402.63,688.38,0.0,1.0,1.0,1.0,0.0,0,64,13500.0,6354.314328,198.065894,1.0,12,6.442955376434953,8.866724077232586,8.764620296057728,6.535792642927974,0.0,8.757046643926731,5.293635895542641
7,1823.652743,1.0,436.2,0.0,436.2,0.0,1.0,0.0,1.0,0.0,0,12,2300.0,679.065082,532.03399,0.0,12,7.509144970103254,6.080390756302384,0.0,6.080390756302384,0.0,6.522188502413885,6.278585193239496
8,1014.926473,1.0,861.49,661.49,200.0,0.0,0.333333,0.083333,0.25,0.0,0,5,7000.0,688.278568,311.963409,0.0,12,6.92355625642517,6.759823554635403,6.496005463406834,5.303304908059076,0.0,6.535645496995635,5.7460862795529755
9,152.225975,0.545455,1281.6,1281.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0,3,11000.0,1164.770591,100.302262,0.0,12,5.031913792542936,7.156644546714762,7.156644546714762,0.0,0.0,7.06113759883932,4.618108740719055
10,1293.124939,1.0,920.12,0.0,920.12,0.0,1.0,0.0,1.0,0.0,0,12,1200.0,1083.301007,2172.697765,0.0,12,7.16559002295018,6.8255903209275,0.0,6.8255903209275,0.0,6.988690825187471,7.684185035477527
